Class,Superorder,Order,Family,Genus,species_binomial,Dulvy_priority,PrimaryHabitat,DepthMin_m_text,DepthMax_m_text,MaxLinearDimension,BodySizeClass,EcomorphotypeLevel1
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Anacanthobatis,Anacanthobatis marmorata,Skates,Deepwater,200,433,29,small,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Indobatis,Indobatis ori,Skates,Deepwater,1000,1725,43,small,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Schroederobatis,Schroederobatis americana,Skates,Deepwater,183,915,38,small,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis andamanensis,Skates,Deepwater,508,518,42.9,small,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis borneensis,Skates,Deepwater,316,990,34.8,small,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis brevicauda,Skates,Deepwater,960,1130,59.1,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis bulbicauda,Skates,Deepwater,150,1125,56,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis caerulea,Skates,Deepwater,480,1170,69,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis filicauda,Skates,Deepwater,606,880,55,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis kotlyari,Skates,Deepwater,1400,1400,33.1,small,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis melanosoma,Skates,Deepwater,575,1100,59.4,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis stenosoma,Skates,Deepwater,520,534,52,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Springeria,Springeria folirostris,Skates,Deepwater,300,510,62,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Springeria,Springeria longirostris,Skates,Deepwater,500,1050,75,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Arhynchobatis,Arhynchobatis asperrimus,Skates,Deepwater,55,1095,75,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja abyssicola,Skates,Deepwater,362,2906,110,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja aguja,Skates,Deepwater,980,980,76,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja albomaculata,Skates,Deepwater,55,945,150,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja aleutica,Skates,Deepwater,15,1602,154,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja andriashevi,Skates,Deepwater,1200,2004,120,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja bergi,Skates,Deepwater,70,900,102,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja brachyurops,Skates,Deepwater,28,604,125,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja cousseauae,Skates,Deepwater,104,1190,122,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja diplotaenia,Skates,Deepwater,100,1000,87.7,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja eatonii,Skates,Deepwater,15,800,126,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja fedorovi,Skates,Deepwater,447,2025,150,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja griseocauda,Skates,Deepwater,30,1010,157,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja hesperafricana,Skates,Deepwater,750,2200,87,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja interrupta,Skates,Deepwater,23,1500,89,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja irrasa,Skates,Deepwater,300,1200,140,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja ishiharai,Skates,Deepwater,2320,2391,123,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja isotrachys,Skates,Deepwater,100,2000,86,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja kincaidii,Skates,Deepwater,200,1370,64,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja leucomelanos,Skates,Deepwater,953,1022,89.5,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja lindbergi,Skates,Deepwater,126,1193,102,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja longicauda,Skates,Deepwater,580,735,23.5,small,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja maccaini,Skates,Deepwater,91,500,120,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja macloviana,Skates,Deepwater,48,514,71,medium,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja maculata,Skates,Deepwater,73,1193,147,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja matsubarai,Skates,Deepwater,120,2000,126,large,rajobenthic
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja meridionalis,Skates,Deepwater,65,2240,150,large,rajobenthic
