,year_t,exporter_i,importer_j,hscode_k,value_v,quantity_q,hs,product
1,2012,8,191,30282,0.25,0.062,HS12,meat
2,2012,8,688,30282,0.228,0.062,HS12,meat
3,2012,32,12,30382,12.521,2.489,HS12,meat
4,2012,32,56,30382,450.03,127.273,HS12,meat
5,2012,32,156,30381,56.203,23.536,HS12,meat
6,2012,32,156,30382,2393.057,1966.661,HS12,meat
7,2012,32,208,30382,0.244,0.084,HS12,meat
8,2012,32,251,30382,2537.768,876.328,HS12,meat
9,2012,32,258,30382,1.153,0.2,HS12,meat
10,2012,32,344,30381,47.859,16.574,HS12,meat
11,2012,32,380,30282,20.558,3.808,HS12,meat
12,2012,32,380,30381,373.405,158.76,HS12,meat
13,2012,32,392,30381,540.378,2.528,HS12,meat
14,2012,32,392,30382,306.546,153.273,HS12,meat
15,2012,32,410,30382,15744.95,6716.844,HS12,meat
16,2012,32,440,30381,0.635,1.056,HS12,meat
17,2012,32,440,30382,1.129,1.675,HS12,meat
18,2012,32,480,30382,4.107,           NA,HS12,meat
19,2012,32,616,30382,50.907,2.656,HS12,meat
20,2012,32,620,30382,32.015,10.852,HS12,meat
21,2012,32,643,30381,1.129,1.529,HS12,meat
22,2012,32,643,30382,3.221,2.244,HS12,meat
23,2012,32,702,30381,179.655,39.88,HS12,meat
24,2012,32,704,30382,95.957,112.914,HS12,meat
25,2012,32,705,30382,0.702,0.165,HS12,meat
26,2012,32,724,30381,6.421,3.367,HS12,meat
27,2012,32,724,30382,106.314,53.546,HS12,meat
28,2012,32,842,30382,0.095,0.05,HS12,meat
29,2012,32,858,30282,60.101,66.892,HS12,meat
30,2012,36,124,30381,24.212,4.272,HS12,meat
31,2012,36,124,30382,151.691,18.794,HS12,meat
32,2012,36,344,30381,78.261,6.752,HS12,meat
33,2012,36,702,30282,0.249,0.02,HS12,meat
34,2012,40,276,30281,0.238,0.038,HS12,meat
35,2012,40,276,30381,0.19,0.03,HS12,meat
36,2012,40,348,30282,1.4,0.189,HS12,meat
37,2012,40,380,30281,0.096,0.015,HS12,meat
38,2012,40,616,30281,0.039,0.006,HS12,meat
39,2012,40,616,30381,0.068,0.01,HS12,meat
40,2012,40,642,30281,0.536,0.045,HS12,meat
41,2012,40,703,30281,0.037,0.006,HS12,meat
42,2012,50,156,30382,6.606,5.97,HS12,meat
43,2012,50,344,30381,66.076,3.86,HS12,meat
44,2012,50,702,30282,0.077,0.02,HS12,meat
45,2012,56,208,30382,0.086,0.02,HS12,meat
46,2012,56,251,30281,45.39,27.897,HS12,meat
47,2012,56,251,30282,85.017,10.605,HS12,meat
48,2012,56,251,30381,19.671,3.19,HS12,meat
49,2012,56,251,30382,86.025,10.093,HS12,meat
50,2012,56,276,30281,0.206,1.281,HS12,meat
51,2012,56,276,30282,10.609,0.877,HS12,meat
52,2012,56,276,30382,1.56,0.356,HS12,meat
53,2012,56,372,30282,0.138,0.001,HS12,meat
