Order,Scientific name,Common name,IUCN,CITES status,Size,Habitat,CountGZ,% of samples GZ,Count HK,% of samples HK
Carcharhiniformes,Prionace glauca,Blue shark,NT,,Large,Oceanic,616,36.11,"2,979",39.01
Carcharhiniformes,Carcharhinus falciformis,Silky shark,VU,Appendix II,Large,Oceanic,327,19.17,973,12.74
Carcharhiniformes,"Carcharhinus limbatus, Carcharhinus leiodon, Carcharhinus tilstoni, Carcharhinus amblyrhynchoides","Blacktip, Graceful, Smoothtooth blacktip, Australian blacktip sharks",NT,,Large,Coastal,37,2.17,356,4.66
Carcharhiniformes,Carcharhinus spp.,Requiem sharks,,,,,139,8.15,336,4.4
Carcharhiniformes,Sphyrna lewini,Scalloped hammerhead shark,CR,Appendix II,Large,Oceanic,71,4.16,323,4.23
Carcharhiniformes,Sphyrna zygaena,Smooth hammerhead shark,VU,Appendix II,Large,Oceanic,62,3.63,276,3.61
Lamniformes,Isurus oxyrinchus,Shortfin mako shark,EN,,Large,Oceanic,71,4.16,181,2.37
Chimaeriformes,Callorhinchus spp.,Chimaeras,,,Small,Coastal,24,1.41,160,2.1
Carcharhiniformes,Rhizoprionodon acutus,Milk shark,LC,,Small,Coastal,31,1.82,158,2.07
Carcharhiniformes,Carcharhinus leucas,Bull shark,NT,,Large,Coastal,22,1.29,129,1.69
Lamniformes,Alopias pelagicus,Pelagic thresher shark,EN,Appendix II,Large,Oceanic,28,1.64,122,1.6
Carcharhiniformes,Carcharhinus amboinensis,Pigeye shark,DD,,Large,Coastal,14,0.82,113,1.48
Carcharhiniformes,Carcharhinus brevipinna,Spinner shark,NT,,Large,Coastal,10,0.59,102,1.34
Lamniformes,Lamna ditropis,Salmon shark,LC,,Large,Oceanic,7,0.41,78,1.02
Carcharhiniformes,Mustelus punctulatus,Blackspotted smooth-hound shark,DD,,Small,Coastal,31,1.82,75,0.98
Carcharhiniformes,Carcharhinus sorrah,Spot-tail shark,NT,,Small,Coastal,26,1.58,74,0.97
Squaliformes,Dalatia licha,Kitefin shark,NT,,Large,Deep-benthic,0,0,72,0.94
Carcharhiniformes,Sphyrna mokarran,Great hammerhead shark,CR,Appendix II,Large,Coastal,5,0.29,70,0.92
Carcharhiniformes,Mustelus canis,Smooth dogfish,NT,,Small,Coastal,2,0.12,68,0.89
Carcharhiniformes,Carcharhinus longimanus,Oceanic whitetip shark,CR,Appendix II,Large,Oceanic,27,1.58,63,0.83
Carcharhiniformes,"Carcharhinus obscurus, Carcharhinus galapagensis",Dusky/Galapagos shark,VU/NT,,Large,Coastal,2,0.12,58,0.76
Carcharhiniformes,Mustelus schmitti,Narrownose smooth-hound shark,EN,,Small,Coastal,29,1.7,57,0.75
Carcharhiniformes,"Carcharhinus altimus, Carcharhinus plumbeus",Bignose/Sandbar shark,DD/VU,,Large,Coastal,6,0.35,51,0.67
Carcharhiniformes,Galeocerdo cuvier,Tiger shark,NT,,Large,Coastal,10,0.59,47,0.62
Rhinopristiformes,Rhynchobatus australiae,White-spotted wedgefish,CR,,Large,Coastal,0,0,45,0.59
Lamniformes,Alopias spp.,Thresher sharks,VU,,Large,Oceanic,2,0.12,38,0.5
Rhinopristiformes,Rhynchobatus spp.,Wedgefishes,CR,,Large,Coastal,4,0.23,35,0.46
Carcharhiniformes,Negaprion acutidens,Sicklefin lemon shark,VU,,Large,Coastal,0,0,35,0.46
Carcharhiniformes,Rhizoprionodon taylori,Australian sharpnose shark,LC,,Small,Coastal,1,0.06,34,0.45
Squaliformes,Centrophorus spp.,Gulper sharks,,,Small,Deep-benthic,0,0,31,0.41
Carcharhiniformes,Mustelus spp.,Smooth-hound sharks,,,Small,Coastal,13,0.76,30,0.39
Carcharhiniformes,Galeorhinus galeus,Soupfin shark,VU,,Large,Coastal,3,0.18,24,0.31
Carcharhiniformes,Carcharhinus amblyrhynchos,Grey reef shark,NT,,Large,Coastal,1,0.06,24,0.31
