Order,Family,Species,CITES_YEAR,CITES_2013
Rhinopristiformes,Pristidae,Anoxypristis cuspidata,Appendix I (2007),1
Rhinopristiformes,Pristidae,Pristis clavata,Appendix I (2007),1
Rhinopristiformes,Pristidae,Pristis pectinata,Appendix I (2007),1
Rhinopristiformes,Pristidae,Pristis pristis,Appendix I (2007),1
Rhinopristiformes,Pristidae,Pristis zijsron,Appendix I (2007),1
Lamniformes,Cetorhinidae,Cetorhinus maximus,Appendix II (2003),1
Orectolobiformes,Rhincodontidae,Rhincodon typus,Appendix II (2003),1
Lamniformes,Lamnidae,Carcharodon carcharias,Appendix II (2005),1
Carcharhiniformes,Carcharhinidae,Carcharhinus longimanus,Appendix II (2013),1
Carcharhiniformes,Sphyrnidae,Sphyrna lewini,Appendix II (2013),1
Carcharhiniformes,Sphyrnidae,Sphyrna mokarran,Appendix II (2013),1
Carcharhiniformes,Sphyrnidae,Sphyrna zygaena,Appendix II (2013),1
Lamniformes,Lamnidae,Lamna nasus,Appendix II (2013),1
Myliobatiformes,Mobulidae,Mobula alfredi,Appendix II (2013),1
Myliobatiformes,Mobulidae,Mobula birostris,Appendix II (2013),1
