Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2019,I,Pristis pristis,Elasmobranchii,Pristiformes,Pristidae,Pristis,AU,PG,,2,,fins,Number of specimens,S,W
2019,II,Alopias spp.,Elasmobranchii,Lamniformes,Alopiidae,Alopias,BH,OM,,,50,fins,kg,T,W
2019,II,Alopias spp.,Elasmobranchii,Lamniformes,Alopiidae,Alopias,CN,OM,,,1060,fins,kg,T,W
2019,II,Alopias spp.,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,OM,,1655,,fins,kg,T,W
2019,II,Alopias spp.,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,SV,,,90.3,fins,kg,T,C
2019,II,Alopias spp.,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,SV,,1583.85,2521.15,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,CN,MX,,,2905.94,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,CR,,5408.10,,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,CR,,,5504.15,fins,kg,,
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,EC,,17184,21079,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,GT,,449,,fins,kg,T,O
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,GT,,680,2166.43,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,MX,,394.64,,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,PE,EC,24875,,fins,kg,T,O
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,PE,EC,,12708.1,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,PE,EC,,35774.1,53439.1,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,SG,PE,EC,,6906,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,US,NI,,45,44.7,fins,kg,T,W
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,US,VN,LK,1,,fins,Number of specimens,Q,O
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,VN,US,LK,,1,fins,Number of specimens,Q,O
2019,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,VN,US,LK,1,,fins,,Q,O
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,CN,MX,,,55,fins,kg,T,W
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,CN,SN,,,100,fins,kg,T,W
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,EC,,548.5,548.5,fins,kg,T,W
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,OM,,4700,7540,fins,kg,T,W
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,PE,EC,1069.5,,fins,kg,T,O
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,PE,EC,,600.7,fins,kg,T,W
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,PE,EC,,3144.7,4862.7,fins,kg,T,W
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,SG,PE,EC,,1044,fins,kg,T,W
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,VN,OM,,,1920,fins,kg,T,W
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,VN,US,,,1,fins,Number of specimens,Q,O
2019,II,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,VN,US,,1,,fins,,Q,O
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,CN,MX,,,44,fins,kg,T,W
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,CN,SN,,,70,fins,kg,T,W
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,KR,,775,,fins,kg,T,W
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,MX,,44,,fins,kg,T,W
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,NI,,134.717,,fins,kg,T,W
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,PE,,4665,,fins,kg,T,W
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,SG,PE,,,1584.67,fins,kg,T,W
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,US,VN,US,2,,fins,Number of specimens,Q,O
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,VN,US,,,2,fins,Number of specimens,Q,O
2019,II,Alopias vulpinus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,VN,US,,2,,fins,,Q,O
2019,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,AE,KE,KE,,6,fins,,E,W
2019,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,AE,KE,OM,6,,fins,,E,W
2019,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,AE,MV,OM,6,,fins,,E,W
2019,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,CI,SN,,,1,fins,kg,E,I
2019,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,CN,MX,,,20993.40,fins,kg,T,W
2019,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,CN,OM,,,1240,fins,kg,T,W
