RFMO,Year,faoEN,faoSp,Common,Species,Binding,Measure,Note1,Note2,Note3,Note4
CITES,2022,NA,Acroteriobatus annulatus,NA,Acroteriobatus annulatus,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus annulatus.,NA,NA
CITES,2022,Bluntnose guitarfish,Acroteriobatus blochii,NA,Acroteriobatus blochii,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus blochii (Bluntnose guitarfish).,NA,NA
CITES,2022,Grayspottted guitarfish,Acroteriobatus leucospilus,NA,Acroteriobatus leucospilus,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus leucospilus (Grayspottted guitarfish).,NA,NA
CITES,2022,NA,Acroteriobatus ocellatus,NA,Acroteriobatus ocellatus,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus ocellatus.,NA,NA
CITES,2022,NA,Acroteriobatus salalah,NA,Acroteriobatus salalah,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus salalah.,NA,NA
CMS,2014,Pelagic thresher,Alopias pelagicus,Pelagic thresher,Alopias pelagicus,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2016) - Alopias pelagicus (Pelagic thresher).",NA,NA
CITES,2017,Pelagic thresher,Alopias pelagicus,Pelagic thresher,Alopias pelagicus,binding,Appendix,Binding,CITES Appendix II - Alopias pelagicus (Pelagic thresher).,NA,NA
CMS,2014,Bigeye thresher,Alopias superciliosus,Bigeye thresher,Alopias superciliosus,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2016) - Alopias superciliousus (Bigeye thresher).",NA,NA
CITES,2017,Bigeye thresher,Alopias superciliosus,Bigeye thresher,Alopias superciliosus,binding,Appendix,Binding,CITES Appendix II - Alopias superciliosus (Bigeye thresher).,NA,NA
ICCAT,2009,Thresher,Alopias vulpinus,Common thresher,Alopias vulpinus,binding,Recommendation,Rec. 09-07BindingReplaces,Recommendation by ICCAT on the Conservation of Thresher Sharks Caught in Association with Fisheries in the ICCAT Convention Area.,NA,NA
IOTC,2012,Thresher,Alopias vulpinus,Common thresher,Alopias vulpinus,binding,Resolution,Resolution 12/09BindingReplaces,On the Conservation of Thresher Sharks (Family Alopiidae) Caught in Association with Fisheries in the IOTC Area of Competence.,NA,NA
CMS,2014,Thresher,Alopias vulpinus,Common thresher,Alopias vulpinus,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2016) - Alopias vulpinus (Thresher).",NA,NA
CITES,2017,Thresher,Alopias vulpinus,Common thresher,Alopias vulpinus,binding,Appendix,Binding,CITES Appendix II - Alopias vulpinus (Thresher).,NA,NA
CITES,2007,Pointed sawfish,Anoxypristis cuspidata,Pointed sawfish,Anoxypristis cuspidata,binding,Appendix,Binding,CITES Appendix I - Anoxypristis cuspidata (Pointed sawfish).,NA,NA
CMS,2014,Pointed sawfish,Anoxypristis cuspidata,Pointed sawfish,Anoxypristis cuspidata,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Anoxypristis cuspidata (Pointed sawfish).",NA,NA
CITES,2022,NA,Carcharhinidae,Requiem sharks,NA,binding,Appendix,Binding,CITES Appendix II - Carcharhinidae (Requiem sharks).,NA,NA
CITES,2022,Blacknose shark,Carcharhinus acronotus,NA,Carcharhinus acronotus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus acronotus (Blacknose shark).,NA,NA
CITES,2022,Silvertip shark,Carcharhinus albimarginatus,NA,Carcharhinus albimarginatus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus albimarginatus (Silvertip shark).,NA,NA
CITES,2022,Bignose shark,Carcharhinus altimus,NA,Carcharhinus altimus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus altimus (Bignose shark).,NA,NA
CITES,2022,Graceful shark,Carcharhinus amblyrhynchoides,NA,Carcharhinus amblyrhynchoides,binding,Appendix,Binding,CITES Appendix II - Carcharhinus amblyrhynchoides (Graceful shark).,NA,NA
CITES,2022,Grey reef shark,Carcharhinus amblyrhynchos,NA,Carcharhinus amblyrhynchos,binding,Appendix,Binding,CITES Appendix II - Carcharhinus amblyrhynchos (Grey reef shark).,NA,NA
CITES,2022,Pigeye shark,Carcharhinus amboinensis,NA,Carcharhinus amboinensis,binding,Appendix,Binding,CITES Appendix II - Carcharhinus amboinensis (Pigeye shark).,NA,NA
CITES,2022,Borneo shark,Carcharhinus borneensis,NA,Carcharhinus borneensis,binding,Appendix,Binding,CITES Appendix II - Carcharhinus borneensis (Borneo shark).,NA,NA
CITES,2022,Copper shark,Carcharhinus brachyurus,NA,Carcharhinus brachyurus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus brachyurus (Copper shark).,NA,NA
CITES,2022,Spinner shark,Carcharhinus brevipinna,NA,Carcharhinus brevipinna,binding,Appendix,Binding,CITES Appendix II - Carcharhinus brevipinna (Spinner shark).,NA,NA
CITES,2022,Nervous shark,Carcharhinus cautus,NA,Carcharhinus cautus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus cautus (Nervous shark).,NA,NA
CITES,2022,Whitecheek shark,Carcharhinus dussumieri,NA,Carcharhinus dussumieri,binding,Appendix,Binding,CITES Appendix II - Carcharhinus dussumieri (Whitecheek shark).,NA,NA
ICCAT,2011,Silky shark,Carcharhinus falciformis,Silky shark,Carcharhinus falciformis,binding,Recommendation,Rec. 11-08Binding,Recommendation by ICCAT on the Conservation of Silky Sharks Caught in Association with ICCAT Fisheries.,NA,NA
CMS,2014,Silky shark,Carcharhinus falciformis,Silky shark,Carcharhinus falciformis,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2016) - Carcharhinus falciformis (Silky shark).",NA,NA
CITES,2017,Silky shark,Carcharhinus falciformis,Silky shark,Carcharhinus falciformis,binding,Appendix,Binding,CITES Appendix II - Carcharhinus falciformis (Silky shark).,NA,NA
IATTC,2021,Silky shark,Carcharhinus falciformis,Silky shark,Carcharhinus falciformis,binding,Resolution,Resolution C-21-06Binding,"Amendment to resolution C-19-05 conservation measures for shark species, with special emphasis on the silky shark (Carcharhinus falciformis), for the years 2022 and 2023.",NA,NA
IATTC,2023,Silky shark,Carcharhinus falciformis,Silky shark,Carcharhinus falciformis,binding,Resolution,Resolution C-23-08Binding,"Amendment to Resolution C-21-06 conservation measures for shark species, with special emphasis on the silky shark (Carcharhinus falciformis), for the years 2024 and 2025.",NA,NA
CITES,2022,Creek whaler,Carcharhinus fitzroyensis,NA,Carcharhinus fitzroyensis,binding,Appendix,Binding,CITES Appendix II - Carcharhinus fitzroyensis (Creek whaler).,NA,NA
CITES,2022,Galapagos shark,Carcharhinus galapagensis,Galapagos shark,Carcharhinus galapagensis,binding,Appendix,Binding,CITES Appendix II - Carcharhinus galapagensis (Galapagos shark).,NA,NA
