Class,Superorder,Order,Family,Genus,species_binomial,EDGE.Scientific.name,OldRLCategory,OldRLYear,GSTPRLCategory,GSTRLYear,MaxLinearDimension,MeasurementType,BodySizeClass,length.weight.a,length.weight.b,mass_50,mass_75,mass_max
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus flagellum,Aetobatus flagellum,EN,2006,EN,2021,90,DW,medium,0.0123,3.11,1703.7114,6012.288955,14709.54759
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus laticeps,NA,NE,NA,VU,2021,230,DW,large,0.0123,3.11,31526.47357,111254.9161,272194.0838
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus narinari,Aetobatus narinari,NT,2006,EN,2021,226,DW,large,0.0123,3.11,29852.38752,105347.1731,257740.3163
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus narutobiei,Aetobatus flagellum,NE,NA,VU,2021,150,DW,medium,0.0123,3.11,8343.449479,29443.5015,72035.89014
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus ocellatus,Aetobatus narinari,NE,NA,VU,2016,330,DW,large,0.0123,3.11,96890.27263,341919.5975,836533.7446
Elasmobranchii,Selachimorpha,Lamniformes,Alopiidae,Alopias,Alopias pelagicus,Alopias pelagicus,VU,2004,EN,2018,365,TL,large,0.0159,2.613,12884.77979,37170.93285,78825.79856
Elasmobranchii,Selachimorpha,Lamniformes,Alopiidae,Alopias,Alopias superciliosus,Alopias superciliosus,VU,2007,VU,2018,484,TL,large,0.0188,2.519,19010.29062,52791.33415,108964.0697
Elasmobranchii,Selachimorpha,Lamniformes,Alopiidae,Alopias,Alopias vulpinus,Alopias vulpinus,VU,2007,VU,2018,573,TL,large,0.0188,2.519,29084.04333,80766.01671,166705.2749
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Anacanthobatis,Anacanthobatis marmorata,Anacanthobatis marmoratus,DD,2004,NT,2020,29,TL,small,0.01,3.04,33.92803651,116.3794108,279.0550676
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Indobatis,Indobatis ori,Anacanthobatis ori,DD,2004,LC,2018,43,TL,small,0.01,3.04,112.3603073,385.4165377,924.1534837
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Schroederobatis,Schroederobatis americana,Anacanthobatis americanus,DD,2008,LC,2020,38,TL,small,0.01,3.04,77.16332741,264.6844176,634.6614706
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis andamanensis,NA,NE,NA,LC,2020,42.9,TL,small,0.01,3.04,111.5678288,382.6981907,917.6354192
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis borneensis,Sinobatis borneensis,LC,2008,LC,2020,34.8,TL,small,0.01,3.04,59.05677332,202.5756039,485.7366817
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis brevicauda,NA,NE,NA,LC,2020,59.1,TL,medium,0.01,3.04,295.4573206,1013.472999,2430.110052
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis bulbicauda,Sinobatis bulbicauda,DD,2010,LC,2015,56,TL,medium,0.01,3.04,250.8189903,860.3553087,2062.963776
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis caerulea,Sinobatis caerulea,DD,2010,DD,2015,69,TL,medium,0.01,3.04,473.1186294,1622.883992,3891.358436
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis filicauda,Sinobatis filicauda,DD,2010,DD,2015,55,TL,medium,0.01,3.04,237.449571,814.4957392,1953.001496
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis kotlyari,NA,NE,NA,LC,2020,33.1,TL,small,0.01,3.04,50.71610756,173.965585,417.1354514
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis melanosoma,Sinobatis melanosoma,LC,2008,LC,2020,59.4,TL,medium,0.01,3.04,300.0403103,1029.193497,2467.804733
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis stenosoma,Anacanthobatis stenosoma,DD,2008,LC,2020,52,TL,medium,0.01,3.04,200.2253114,686.8096765,1646.835289
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Springeria,Springeria folirostris,Anacanthobatis folirostris,DD,2008,LC,2020,62,TL,medium,0.01,3.04,341.7744155,1172.349161,2811.064017
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Springeria,Springeria longirostris,Anacanthobatis longirostris,DD,2008,LC,2020,75,TL,medium,0.01,3.04,609.6141709,2091.088826,5014.022064
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Arctoraja,Arctoraja sexoculata,NA,NE,NA,DD,2021,81,TL,medium,0.00513,3.12,531.3455375,1882.702788,4619.453758
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Arhynchobatis,Arhynchobatis asperrimus,Arhynchobatis asperrimus,DD,2008,DD,2017,75,TL,medium,0.00513,3.12,417.9216986,1480.811057,3633.360638
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Atlantoraja,Atlantoraja castelnaui,Atlantoraja castelnaui,EN,2004,CR,2020,147,TL,large,0.00513,3.12,3411.409567,12087.55857,29658.38165
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Atlantoraja,Atlantoraja cyclophora,Atlantoraja cyclophora,VU,2006,EN,2020,74,TL,medium,0.00513,3.12,400.780649,1420.075623,3484.338428
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Atlantoraja,Atlantoraja platana,Atlantoraja platana,VU,2007,EN,2020,91,TL,medium,0.00513,3.12,764.0344175,2707.183229,6642.422701
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja abyssicola,Bathyraja abyssicola,DD,2005,DD,2014,110,TL,large,0.00513,3.12,1380.539879,4891.630955,12002.24652
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja aguja,Bathyraja aguja,DD,2006,LC,2020,76,TL,medium,0.00513,3.12,435.5541806,1543.287771,3786.6553
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja albomaculata,Rhinoraja albomaculata,VU,2007,VU,2020,150,TL,large,0.00513,3.12,3633.360638,12873.99201,31587.99738
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja aleutica,Bathyraja aleutica,LC,2007,LC,2014,154,TL,large,0.00513,3.12,3944.286269,13975.68669,34291.14717
