Class,Superorder,Order,Family,Genus,species_binomial,EDGE Scientific name
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus flagellum,Aetobatus flagellum
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus laticeps,NA
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus narinari,Aetobatus narinari
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus narutobiei,Aetobatus flagellum
Elasmobranchii,Batoidea,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus ocellatus,Aetobatus narinari
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Bathytoshia,Bathytoshia brevicaudata,Dasyatis brevicaudata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Bathytoshia,Bathytoshia centroura,Dasyatis centroura
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Bathytoshia,Bathytoshia lata,Dasyatis lata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Brevitrygon,Brevitrygon heterura,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Brevitrygon,Brevitrygon imbricata,Himantura imbricata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Brevitrygon,Brevitrygon javaensis,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Brevitrygon,Brevitrygon walga,Himantura walga
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis chrysonota,Dasyatis chrysonota
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis hypostigma,Dasyatis hypostigma
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis marmorata,Dasyatis marmorata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis pastinaca,Dasyatis pastinaca
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis tortonesei,Dasyatis tortonesei
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Fluvitrygon,Fluvitrygon kittipongi,Himantura kittipongi
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Fluvitrygon,Fluvitrygon oxyrhynchus,Himantura oxyrhyncha
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Fluvitrygon,Fluvitrygon signifer,Himantura signifer
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Fonitrygon,Fontitrygon colarensis,Dasyatis colarensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Fonitrygon,Fontitrygon garouaensis,Dasyatis garouaensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Fonitrygon,Fontitrygon geijskesi,Dasyatis geijskesi
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Fonitrygon,Fontitrygon margarita,Dasyatis margarita
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Fonitrygon,Fontitrygon margaritella,Dasyatis margaritella
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Fonitrygon,Fontitrygon ukpam,Urogymnus ukpam
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon akajei,Dasyatis akajei
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon bennetti,Dasyatis bennetti
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon fluviorum,Dasyatis fluviorum
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon izuensis,Dasyatis izuensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon laevigata,Dasyatis laevigata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon laosensis,Dasyatis laosensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon longicauda,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon navarrae,Dasyatis navarrae
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon parvonigra,Dasyatis parvonigra
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon sinensis,Dasyatis sinensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hemitrygon,Hemitrygon yemenensis,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura australis,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura leoparda,Himantura leoparda
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura marginata,
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura uarnak,Himantura uarnak
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura undulata,Himantura undulata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hypanus,Hypanus americanus,Dasyatis americana
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hypanus,Hypanus berthalutzae,Dasyatis americana
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hypanus,Hypanus dipterurus,Dasyatis dipterura
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hypanus,Hypanus guttatus,Dasyatis guttata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hypanus,Hypanus longus,Dasyatis longa
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hypanus,Hypanus marianae,Dasyatis marianae
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hypanus,Hypanus rudis,Dasyatis rudis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hypanus,Hypanus sabinus,Dasyatis sabina
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Hypanus,Hypanus say,Dasyatis say
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis ambigua,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis arabica,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis astra,Himantura astra
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis bineeshi,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis gerrardi,Himantura gerrardi
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis macrura,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis pastinacoides,Himantura pastinacoides
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis randalli,Himantura randalli
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis toshi,Himantura toshi
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Makararaja,Makararaja chindwinensis,Makararaja chindwinensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Megatrygon,Megatrygon microps,Dasyatis microps
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon annotata,Neotrygon annotata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon australiae,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon caeruleopunctata,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon kuhlii,Neotrygon kuhlii
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon leylandi,Neotrygon leylandi
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon ningalooensis,Neotrygon ningalooensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon orientalis,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon picta,Neotrygon picta
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon trigonoides,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon varidens,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus ater,Pastinachus atrus
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus gracilicaudus,Pastinachus gracilicaudus
